Numéro de l'anneau,Segment installé,ID de liste de contrôle,Fichier
11,SG20022738,BIM0860_404100,Ring 11.pdf
11,SG20024200,BIM0882_404100,Ring 11.pdf
11,SG20022739,BIM0902_404100,Ring 11.pdf
11,SG20022737,BIM0956_404100,Ring 11.pdf
11,SG20024205,BIM0817_404100,Ring 11.pdf
11,SG20022736,BIM0957_404100,Ring 11.pdf
11,SG20024199,BIM0881_404100,Ring 11.pdf
16,SG20002126,BIM0922_404100,sample.pdf
16,SG20005756,BIM0924_404100,sample.pdf
16,SG20002129,BIM0919_404100,sample.pdf
16,SG20002127,BIM0921_404100,sample.pdf
16,SG20005755,BIM0925_404100,sample.pdf
16,SG20005757,BIM0923_404100,sample.pdf
16,SG20002128,BIM0920_404100,sample.pdf
